Row Number,Volume,Close Price,Timestamp (EST)
4395,1330,520.44,2024-08-05 05:03:00
4394,1461,520.26,2024-08-05 05:04:00
4393,8819,519.99,2024-08-05 05:05:00
4392,770,520.23,2024-08-05 05:06:00
4391,779,519.72,2024-08-05 05:07:00
4390,1355,519.4,2024-08-05 05:08:00
4389,4726,519.44,2024-08-05 05:09:00
4388,3161,519.41,2024-08-05 05:10:00
4387,2160,519.14,2024-08-05 05:11:00
4386,4625,519.24,2024-08-05 05:12:00
4385,6465,519.67,2024-08-05 05:13:00
4384,1624,519.85,2024-08-05 05:14:00
4383,4695,519.68,2024-08-05 05:15:00
4382,1679,519.63,2024-08-05 05:16:00
4381,846,519.85,2024-08-05 05:17:00
4380,980,519.43,2024-08-05 05:18:00
4379,7264,519.7,2024-08-05 05:19:00
4378,1089,519.66,2024-08-05 05:20:00
4377,1301,519.87,2024-08-05 05:21:00
4376,2448,519.47,2024-08-05 05:22:00
4375,1306,519.3,2024-08-05 05:23:00
4374,4173,519,2024-08-05 05:24:00
4373,10535,519.4,2024-08-05 05:25:00
4372,3678,519.76,2024-08-05 05:26:00
4371,1939,519.71,2024-08-05 05:27:00
4370,2159,519.73,2024-08-05 05:28:00
4369,4651,520,2024-08-05 05:29:00
4368,2596,520.41,2024-08-05 05:30:00
4367,9246,520.13,2024-08-05 05:31:00
4366,9490,519.78,2024-08-05 05:32:00
4365,2281,519.8,2024-08-05 05:33:00
4364,2464,519.69,2024-08-05 05:34:00
4363,6109,519.47,2024-08-05 05:35:00
4362,11632,518.72,2024-08-05 05:36:00
4361,17823,518.5,2024-08-05 05:37:00
4360,9246,518.73,2024-08-05 05:38:00
4359,9926,518.49,2024-08-05 05:39:00
4358,5888,518.33,2024-08-05 05:40:00
4357,3296,518.89,2024-08-05 05:41:00
4356,4014,518.8,2024-08-05 05:42:00
4355,3308,518.38,2024-08-05 05:43:00
4354,7437,517.6,2024-08-05 05:44:00
4353,5909,518.26,2024-08-05 05:45:00
4352,3956,518.13,2024-08-05 05:46:00
4351,4458,518.24,2024-08-05 05:47:00
4350,1765,517.93,2024-08-05 05:48:00
4349,13520,518.18,2024-08-05 05:49:00
4348,11976,518.3,2024-08-05 05:50:00
4347,12490,518.7,2024-08-05 05:51:00
4346,5368,518.97,2024-08-05 05:52:00
4345,2968,519.42,2024-08-05 05:53:00
4344,2888,519.07,2024-08-05 05:54:00
4343,2806,518.91,2024-08-05 05:55:00
4342,5730,519.52,2024-08-05 05:56:00
4341,5186,519.87,2024-08-05 05:57:00
4340,9308,520.04,2024-08-05 05:58:00
4339,6219,520.01,2024-08-05 05:59:00
4338,5015,519.33,2024-08-05 06:00:00
4337,6415,519.44,2024-08-05 06:01:00
4336,2242,519.29,2024-08-05 06:02:00
4335,3779,519.49,2024-08-05 06:03:00
4334,8792,519.01,2024-08-05 06:04:00
4333,6196,519.02,2024-08-05 06:05:00
4332,15806,519.03,2024-08-05 06:06:00
4331,4155,518.89,2024-08-05 06:07:00
4330,3356,518.87,2024-08-05 06:08:00
4329,2807,518.95,2024-08-05 06:09:00
4328,6723,519.03,2024-08-05 06:10:00
4327,6972,518.91,2024-08-05 06:11:00
4326,10235,518.94,2024-08-05 06:12:00
4325,3340,518.78,2024-08-05 06:13:00
4324,4579,518.51,2024-08-05 06:14:00
4323,13228,517.84,2024-08-05 06:15:00
4322,10918,518.46,2024-08-05 06:16:00
4321,1915,518.43,2024-08-05 06:17:00
4320,7492,518.7,2024-08-05 06:18:00
4319,17867,518.87,2024-08-05 06:19:00
4318,13467,518.77,2024-08-05 06:20:00
4317,15527,518.54,2024-08-05 06:21:00
4316,2052,518.94,2024-08-05 06:22:00
4315,6761,518.51,2024-08-05 06:23:00
4314,5302,518.21,2024-08-05 06:24:00
4313,2277,517.78,2024-08-05 06:25:00
4312,2790,517.21,2024-08-05 06:26:00
4311,64776,517.07,2024-08-05 06:27:00
4310,18909,517.6,2024-08-05 06:28:00
4309,14873,517.77,2024-08-05 06:29:00
4308,4983,517.65,2024-08-05 06:30:00
4307,4260,517.92,2024-08-05 06:31:00
4306,10702,518.18,2024-08-05 06:32:00
4305,6245,517.92,2024-08-05 06:33:00
4304,6032,517.54,2024-08-05 06:34:00
4303,1641,517.56,2024-08-05 06:35:00
4302,4592,517.45,2024-08-05 06:36:00
4301,9588,516.98,2024-08-05 06:37:00
4300,16850,516.75,2024-08-05 06:38:00
4299,20918,516.8,2024-08-05 06:39:00
4298,12425,516.17,2024-08-05 06:40:00
4297,12509,516.19,2024-08-05 06:41:00
4296,13327,516.39,2024-08-05 06:42:00
4295,8126,516.87,2024-08-05 06:43:00
4294,8341,517.26,2024-08-05 06:44:00
4293,8832,517.09,2024-08-05 06:45:00
4292,10119,517.16,2024-08-05 06:46:00
4291,14732,517.02,2024-08-05 06:47:00
4290,28973,517.56,2024-08-05 06:48:00
4289,27137,517.6,2024-08-05 06:49:00
4288,20470,517.5,2024-08-05 06:50:00
4287,22212,517.37,2024-08-05 06:51:00
4286,9126,517.19,2024-08-05 06:52:00
4285,12884,516.74,2024-08-05 06:53:00
4284,13582,517.21,2024-08-05 06:54:00
4283,7039,517.21,2024-08-05 06:55:00
4282,9019,517.26,2024-08-05 06:56:00
4281,15777,517.68,2024-08-05 06:57:00
4280,33801,518.25,2024-08-05 06:58:00
4279,21469,518.25,2024-08-05 06:59:00
4278,74025,518.45,2024-08-05 07:00:00
4277,47092,518.41,2024-08-05 07:01:00
4276,24290,518.07,2024-08-05 07:02:00
4275,24556,517.86,2024-08-05 07:03:00
4274,5072,517.94,2024-08-05 07:04:00
4273,18835,517.55,2024-08-05 07:05:00
4272,19697,517.29,2024-08-05 07:06:00
4271,15036,517.59,2024-08-05 07:07:00
4270,17404,517.51,2024-08-05 07:08:00
4269,12737,517.19,2024-08-05 07:09:00
4268,26434,517.29,2024-08-05 07:10:00
4267,22234,517.44,2024-08-05 07:11:00
4266,9857,517.59,2024-08-05 07:12:00
4265,29959,518.13,2024-08-05 07:13:00
4264,45255,518.34,2024-08-05 07:14:00
4263,95160,518,2024-08-05 07:15:00
4262,7284,518.12,2024-08-05 07:16:00
4261,17139,518.3,2024-08-05 07:17:00
4260,21254,518.25,2024-08-05 07:18:00
4259,27649,518.45,2024-08-05 07:19:00
4258,28065,518.3,2024-08-05 07:20:00
4257,17546,518.38,2024-08-05 07:21:00
4256,14799,518.54,2024-08-05 07:22:00
4255,11778,518.4,2024-08-05 07:23:00
4254,10285,518.35,2024-08-05 07:24:00
4253,23560,517.88,2024-08-05 07:25:00
4252,22055,517.8,2024-08-05 07:26:00
4251,12514,517.8,2024-08-05 07:27:00
4250,25730,517.59,2024-08-05 07:28:00
4249,34790,516.84,2024-08-05 07:29:00
4248,28682,516.97,2024-08-05 07:30:00
4247,23851,516.96,2024-08-05 07:31:00
4246,22790,516.33,2024-08-05 07:32:00
4245,53414,516.09,2024-08-05 07:33:00
4244,44892,516.87,2024-08-05 07:34:00
4243,41556,517.221,2024-08-05 07:35:00
4242,33955,517.05,2024-08-05 07:36:00
4241,20221,516.78,2024-08-05 07:37:00
4240,22684,516.62,2024-08-05 07:38:00
4239,18151,516.18,2024-08-05 07:39:00
4238,20018,516.29,2024-08-05 07:40:00
4237,15495,516.54,2024-08-05 07:41:00
4236,15159,516.12,2024-08-05 07:42:00
4235,12546,516.19,2024-08-05 07:43:00
4234,36117,516.89,2024-08-05 07:44:00
4233,25022,516.91,2024-08-05 07:45:00
4232,13228,516.57,2024-08-05 07:46:00
4231,8059,515.89,2024-08-05 07:47:00
4230,16215,515.98,2024-08-05 07:48:00
4229,27041,515.78,2024-08-05 07:49:00
4228,28740,516.21,2024-08-05 07:50:00
4227,23323,515.76,2024-08-05 07:51:00
4226,35086,515.44,2024-08-05 07:52:00
4225,30219,515.16,2024-08-05 07:53:00
4224,40239,515.14,2024-08-05 07:54:00
4223,50131,514.97,2024-08-05 07:55:00
4222,138634,514.48,2024-08-05 07:56:00
4221,34230,514.58,2024-08-05 07:57:00
4220,64164,515.28,2024-08-05 07:58:00
4219,51216,515.28,2024-08-05 07:59:00
4218,276543,515.41,2024-08-05 08:00:00
4217,127133,516.14,2024-08-05 08:01:00
4216,45119,515.72,2024-08-05 08:02:00
4215,30191,515.74,2024-08-05 08:03:00
4214,21182,515.06,2024-08-05 08:04:00
4213,127322,515,2024-08-05 08:05:00
4212,33142,514.68,2024-08-05 08:06:00
4211,40469,514.29,2024-08-05 08:07:00
4210,72451,514.39,2024-08-05 08:08:00
4209,48317,514.27,2024-08-05 08:09:00
4208,38500,514.39,2024-08-05 08:10:00
4207,60712,513.88,2024-08-05 08:11:00
4206,81914,513.83,2024-08-05 08:12:00
4205,80394,513.41,2024-08-05 08:13:00
4204,70686,513.2,2024-08-05 08:14:00
4203,42878,512.65,2024-08-05 08:15:00
4202,84995,512.62,2024-08-05 08:16:00
4201,89993,512.52,2024-08-05 08:17:00
4200,55920,512.28,2024-08-05 08:18:00
4199,65555,512.12,2024-08-05 08:19:00
4198,91438,512.2,2024-08-05 08:20:00
4197,77166,511.22,2024-08-05 08:21:00
4196,42160,511.29,2024-08-05 08:22:00
4195,116694,509.74,2024-08-05 08:23:00
4194,142265,509.16,2024-08-05 08:24:00
4193,163943,509.9,2024-08-05 08:25:00
4192,108563,509.97,2024-08-05 08:26:00
4191,80108,510.36,2024-08-05 08:27:00
4190,73227,509.28,2024-08-05 08:28:00
4189,114781,509.58,2024-08-05 08:29:00
4188,61085,509.39,2024-08-05 08:30:00
4187,110299,508.97,2024-08-05 08:31:00
4186,150517,508.46,2024-08-05 08:32:00
4185,135779,508.79,2024-08-05 08:33:00
4184,52619,508.62,2024-08-05 08:34:00
4183,100996,509.5,2024-08-05 08:35:00
4182,93297,508.48,2024-08-05 08:36:00
4181,129733,510.4,2024-08-05 08:37:00
4180,81139,509.73,2024-08-05 08:38:00
4179,67010,510.24,2024-08-05 08:39:00
4178,145164,512.08,2024-08-05 08:40:00
4177,179405,512.58,2024-08-05 08:41:00
4176,89850,511.89,2024-08-05 08:42:00
4175,43287,511.86,2024-08-05 08:43:00
4174,93930,511.37,2024-08-05 08:44:00
4173,118698,510.05,2024-08-05 08:45:00
4172,109578,510.17,2024-08-05 08:46:00
4171,74056,510.04,2024-08-05 08:47:00
4170,38648,509.55,2024-08-05 08:48:00
4169,31113,509.99,2024-08-05 08:49:00
4168,99744,510.07,2024-08-05 08:50:00
4167,75431,509.75,2024-08-05 08:51:00
4166,84451,509.78,2024-08-05 08:52:00
4165,101569,510.01,2024-08-05 08:53:00
4164,139342,509.76,2024-08-05 08:54:00
4163,38453,509.93,2024-08-05 08:55:00
