Volume,Close Price,Timestamp (EST)
204,542.07,2024-08-14 07:14:00
5091,542.05,2024-08-14 07:15:00
5782,542.11,2024-08-14 07:16:00
2478,542.08,2024-08-14 07:18:00
794,542.04,2024-08-14 07:19:00
11960,542.01,2024-08-14 07:20:00
8426,541.99,2024-08-14 07:21:00
286,542.1,2024-08-14 07:23:00
659,542.14,2024-08-14 07:24:00
11555,542.13,2024-08-14 07:26:00
5931,542.17,2024-08-14 07:27:00
749,542.24,2024-08-14 07:28:00
4604,542.12,2024-08-14 07:29:00
351,542.21,2024-08-14 07:30:00
186,542.21,2024-08-14 07:31:00
345,542.13,2024-08-14 07:32:00
2583,542.09,2024-08-14 07:34:00
1197,542.16,2024-08-14 07:38:00
614,542.21,2024-08-14 07:39:00
8251,542.25,2024-08-14 07:40:00
2061,542.14,2024-08-14 07:41:00
2987,542.24,2024-08-14 07:42:00
4813,542.12,2024-08-14 07:43:00
2443,542.15,2024-08-14 07:44:00
420,542.17,2024-08-14 07:45:00
10100,542.3,2024-08-14 07:47:00
16908,542.31,2024-08-14 07:48:00
238,542.31,2024-08-14 07:49:00
1039,542.29,2024-08-14 07:50:00
959,542.31,2024-08-14 07:51:00
1103,542.42,2024-08-14 07:52:00
855,542.33,2024-08-14 07:53:00
679,542.3,2024-08-14 07:54:00
10619,542.32,2024-08-14 07:55:00
824,542.35,2024-08-14 07:56:00
231,542.38,2024-08-14 07:57:00
1269,542.38,2024-08-14 07:58:00
1081,542.28,2024-08-14 07:59:00
10458,542.25,2024-08-14 08:00:00
10186,542.17,2024-08-14 08:01:00
585,542.17,2024-08-14 08:02:00
536,542.32,2024-08-14 08:03:00
663,542.2995,2024-08-14 08:04:00
3355,542.3,2024-08-14 08:05:00
3896,542.29,2024-08-14 08:06:00
1361,542.29,2024-08-14 08:07:00
1035,542.31,2024-08-14 08:08:00
1552,542.3,2024-08-14 08:09:00
2557,542.25,2024-08-14 08:10:00
11067,542.275,2024-08-14 08:11:00
1568,542.34,2024-08-14 08:12:00
1056,542.28,2024-08-14 08:13:00
3069,542.23,2024-08-14 08:14:00
1903,542.24,2024-08-14 08:15:00
3200,542.29,2024-08-14 08:16:00
1646,542.24,2024-08-14 08:17:00
2077,542.21,2024-08-14 08:18:00
3259,542.2,2024-08-14 08:19:00
2428,542.16,2024-08-14 08:20:00
10247,542.11,2024-08-14 08:21:00
2733,542.05,2024-08-14 08:22:00
3752,542.07,2024-08-14 08:23:00
1521,542.19,2024-08-14 08:24:00
35500,542.32,2024-08-14 08:25:00
6454,542.41,2024-08-14 08:26:00
24174,542.47,2024-08-14 08:27:00
80604,542.47,2024-08-14 08:28:00
22500,542.58,2024-08-14 08:29:00
95492,543.19,2024-08-14 08:30:00
97225,542.05,2024-08-14 08:31:00
79034,541.48,2024-08-14 08:32:00
129177,541.97,2024-08-14 08:33:00
28059,541.63,2024-08-14 08:34:00
85593,541.4,2024-08-14 08:35:00
72535,541.87,2024-08-14 08:36:00
12707,542.1,2024-08-14 08:37:00
39687,542.55,2024-08-14 08:38:00
23355,542.55,2024-08-14 08:39:00
28255,542.25,2024-08-14 08:40:00
37310,542.3,2024-08-14 08:41:00
33719,542.67,2024-08-14 08:42:00
40499,542.72,2024-08-14 08:43:00
47609,542.87,2024-08-14 08:44:00
27057,542.79,2024-08-14 08:45:00
17549,542.9518,2024-08-14 08:46:00
24514,543.1,2024-08-14 08:47:00
4054,542.92,2024-08-14 08:48:00
15110,542.9,2024-08-14 08:49:00
30851,542.71,2024-08-14 08:50:00
23166,542.5,2024-08-14 08:51:00
12216,542.75,2024-08-14 08:52:00
8688,542.75,2024-08-14 08:53:00
2987,542.8,2024-08-14 08:54:00
15492,542.83,2024-08-14 08:55:00
10309,542.83,2024-08-14 08:56:00
2783,542.72,2024-08-14 08:57:00
11019,542.88,2024-08-14 08:58:00
1741,542.9183,2024-08-14 08:59:00
15358,542.93,2024-08-14 09:00:00
1345,543.05,2024-08-14 09:01:00
6409,542.95,2024-08-14 09:02:00
14506,543,2024-08-14 09:03:00
7442,542.91,2024-08-14 09:04:00
3097,543.09,2024-08-14 09:05:00
5423,543.03,2024-08-14 09:06:00
11134,543.01,2024-08-14 09:07:00
12545,542.85,2024-08-14 09:08:00
2604,542.93,2024-08-14 09:09:00
14894,542.9003,2024-08-14 09:10:00
2366,543.02,2024-08-14 09:11:00
1008,542.93,2024-08-14 09:12:00
4990,542.91,2024-08-14 09:13:00
18912,542.79,2024-08-14 09:14:00
10773,542.75,2024-08-14 09:15:00
2321,542.82,2024-08-14 09:16:00
868,542.86,2024-08-14 09:17:00
1001,542.83,2024-08-14 09:18:00
2151,542.83,2024-08-14 09:19:00
6872,542.8252,2024-08-14 09:20:00
13550,542.95,2024-08-14 09:21:00
2914,542.91,2024-08-14 09:22:00
6349,542.97,2024-08-14 09:23:00
7453,543.06,2024-08-14 09:24:00
10977,543.02,2024-08-14 09:25:00
7612,542.91,2024-08-14 09:26:00
17852,542.84,2024-08-14 09:27:00
59989,542.59,2024-08-14 09:28:00
38521,542.87,2024-08-14 09:29:00
592490,543.14,2024-08-14 09:30:00
307517,543.05,2024-08-14 09:31:00
142491,542.88,2024-08-14 09:32:00
197224,542.53,2024-08-14 09:33:00
137762,542.27,2024-08-14 09:34:00
291528,542.51,2024-08-14 09:35:00
125046,542.54,2024-08-14 09:36:00
87687,542.51,2024-08-14 09:37:00
122525,542.47,2024-08-14 09:38:00
83501,542.6001,2024-08-14 09:39:00
97626,542.27,2024-08-14 09:40:00
150787,542.06,2024-08-14 09:41:00
202719,541.8,2024-08-14 09:42:00
126533,541.75,2024-08-14 09:43:00
126407,541.65,2024-08-14 09:44:00
136698,542.04,2024-08-14 09:45:00
132342,541.94,2024-08-14 09:46:00
157572,542.19,2024-08-14 09:47:00
359858,542.11,2024-08-14 09:48:00
65896,541.94,2024-08-14 09:49:00
154093,541.88,2024-08-14 09:50:00
92569,541.64,2024-08-14 09:51:00
105811,541.78,2024-08-14 09:52:00
73532,542.03,2024-08-14 09:53:00
59706,541.65,2024-08-14 09:54:00
121662,541.44,2024-08-14 09:55:00
87367,541.66,2024-08-14 09:56:00
146061,541.48,2024-08-14 09:57:00
78209,541.52,2024-08-14 09:58:00
115519,541.49,2024-08-14 09:59:00
125469,541.43,2024-08-14 10:00:00
72692,541.5,2024-08-14 10:01:00
104976,541.62,2024-08-14 10:02:00
74258,541.49,2024-08-14 10:03:00
60745,541.72,2024-08-14 10:04:00
90137,541.51,2024-08-14 10:05:00
98271,541.3151,2024-08-14 10:06:00
89881,541.3,2024-08-14 10:07:00
